,,,GWP_supply
Electricity,1,1,0.382
Electricity,1,2,0.3879999999999999
Electricity,1,3,0.392
Electricity,1,4,0.397
Electricity,1,5,0.406
Electricity,1,6,0.415
Electricity,1,7,0.432
Electricity,1,8,0.444
Electricity,1,9,0.451
Electricity,1,10,0.437
Electricity,1,11,0.456
Electricity,1,12,0.461
Electricity,1,13,0.4579999999999999
Electricity,1,14,0.462
Electricity,1,15,0.469
Electricity,1,16,0.479
Electricity,1,17,0.485
Electricity,1,18,0.494
Electricity,1,19,0.489
Electricity,1,20,0.499
Electricity,1,21,0.495
Electricity,1,22,0.477
Electricity,1,23,0.484
Electricity,1,24,0.473
Electricity,2,1,0.386
Electricity,2,2,0.379
Electricity,2,3,0.379
Electricity,2,4,0.373
Electricity,2,5,0.369
Electricity,2,6,0.373
Electricity,2,7,0.389
Electricity,2,8,0.449
Electricity,2,9,0.461
Electricity,2,10,0.481
Electricity,2,11,0.465
Electricity,2,12,0.47
Electricity,2,13,0.4429999999999999
Electricity,2,14,0.4039999999999999
Electricity,2,15,0.412
Electricity,2,16,0.3929999999999999
Electricity,2,17,0.449
Electricity,2,18,0.5379999999999999
Electricity,2,19,0.556
Electricity,2,20,0.525
Electricity,2,21,0.46
Electricity,2,22,0.359
Electricity,2,23,0.344
Electricity,2,24,0.3429999999999999
Electricity,3,1,0.409
Electricity,3,2,0.435
Electricity,3,3,0.452
Electricity,3,4,0.4539999999999999
Electricity,3,5,0.457
Electricity,3,6,0.444
Electricity,3,7,0.444
Electricity,3,8,0.4539999999999999
Electricity,3,9,0.4679999999999999
Electricity,3,10,0.455
Electricity,3,11,0.436
Electricity,3,12,0.445
Electricity,3,13,0.4579999999999999
Electricity,3,14,0.426
Electricity,3,15,0.391
Electricity,3,16,0.3379999999999999
Electricity,3,17,0.303
Electricity,3,18,0.3339999999999999
Electricity,3,19,0.435
Electricity,3,20,0.483
Electricity,3,21,0.474
Electricity,3,22,0.447
Electricity,3,23,0.4629999999999999
Electricity,3,24,0.4639999999999999
Electricity,4,1,0.386
Electricity,4,2,0.395
Electricity,4,3,0.397
Electricity,4,4,0.397
Electricity,4,5,0.3989999999999999
Electricity,4,6,0.415
Electricity,4,7,0.433
Electricity,4,8,0.466
Electricity,4,9,0.486
Electricity,4,10,0.517
Electricity,4,11,0.521
Electricity,4,12,0.523
Electricity,4,13,0.501
Electricity,4,14,0.478
Electricity,4,15,0.482
Electricity,4,16,0.422
Electricity,4,17,0.42
Electricity,4,18,0.5579999999999999
Electricity,4,19,0.574
Electricity,4,20,0.5579999999999999
Electricity,4,21,0.493
Electricity,4,22,0.4429999999999999
Electricity,4,23,0.384
Electricity,4,24,0.368
Electricity,5,1,0.373
Electricity,5,2,0.386
Electricity,5,3,0.4
Electricity,5,4,0.372
Electricity,5,5,0.358
Electricity,5,6,0.355
Electricity,5,7,0.358
Electricity,5,8,0.35
