,,,GWP_supply
Electricity,1,1,0.164798
Electricity,1,2,0.143957
Electricity,1,3,0.139208
Electricity,1,4,0.13677
Electricity,1,5,0.13065700000000002
Electricity,1,6,0.132947
Electricity,1,7,0.133381
Electricity,1,8,0.135478
Electricity,1,9,0.135471
Electricity,1,10,0.135768
Electricity,1,11,0.13491299999999998
Electricity,1,12,0.12847399999999998
Electricity,1,13,0.130101
Electricity,1,14,0.126606
Electricity,1,15,0.131886
Electricity,1,16,0.140452
Electricity,1,17,0.145761
Electricity,1,18,0.144596
Electricity,1,19,0.14093799999999998
Electricity,1,20,0.14904499999999998
Electricity,1,21,0.13600299999999999
Electricity,1,22,0.124716
Electricity,1,23,0.13029
Electricity,1,24,0.12423999999999999
Electricity,2,1,0.31295100000000003
Electricity,2,2,0.295773
Electricity,2,3,0.268881
Electricity,2,4,0.238912
Electricity,2,5,0.229781
Electricity,2,6,0.238633
Electricity,2,7,0.260166
Electricity,2,8,0.28182100000000004
Electricity,2,9,0.28872000000000003
Electricity,2,10,0.290695
Electricity,2,11,0.279777
Electricity,2,12,0.26505700000000004
Electricity,2,13,0.27767000000000003
Electricity,2,14,0.261
Electricity,2,15,0.257534
Electricity,2,16,0.263419
Electricity,2,17,0.24421299999999999
Electricity,2,18,0.24893700000000002
Electricity,2,19,0.279046
Electricity,2,20,0.350325
Electricity,2,21,0.36348899999999995
Electricity,2,22,0.368
Electricity,2,23,0.37677999999999995
Electricity,2,24,0.369391
Electricity,3,1,0.145792
Electricity,3,2,0.143947
Electricity,3,3,0.148028
Electricity,3,4,0.148804
Electricity,3,5,0.15177600000000002
Electricity,3,6,0.183482
Electricity,3,7,0.213605
Electricity,3,8,0.250379
Electricity,3,9,0.23552099999999998
Electricity,3,10,0.23450800000000002
Electricity,3,11,0.22936900000000002
Electricity,3,12,0.239123
Electricity,3,13,0.23505099999999998
Electricity,3,14,0.23153800000000002
Electricity,3,15,0.240375
Electricity,3,16,0.238741
Electricity,3,17,0.24284899999999998
Electricity,3,18,0.222051
Electricity,3,19,0.24090299999999998
Electricity,3,20,0.23171899999999998
Electricity,3,21,0.25925099999999995
Electricity,3,22,0.27719299999999997
Electricity,3,23,0.26713099999999995
Electricity,3,24,0.264934
Electricity,4,1,0.214892
Electricity,4,2,0.19607
Electricity,4,3,0.172194
Electricity,4,4,0.157679
Electricity,4,5,0.145654
Electricity,4,6,0.155762
Electricity,4,7,0.166583
Electricity,4,8,0.17513900000000002
Electricity,4,9,0.17807800000000001
Electricity,4,10,0.156396
Electricity,4,11,0.160075
Electricity,4,12,0.14608700000000002
Electricity,4,13,0.136418
Electricity,4,14,0.16479
Electricity,4,15,0.17171599999999998
Electricity,4,16,0.181411
Electricity,4,17,0.177026
Electricity,4,18,0.205433
Electricity,4,19,0.206487
Electricity,4,20,0.20718199999999998
Electricity,4,21,0.16845
Electricity,4,22,0.160072
Electricity,4,23,0.125114
Electricity,4,24,0.127272
Electricity,5,1,0.093239
Electricity,5,2,0.09668
Electricity,5,3,0.106257
Electricity,5,4,0.09283
Electricity,5,5,0.089635
Electricity,5,6,0.091241
Electricity,5,7,0.08796
Electricity,5,8,0.087333
Electricity,5,9,0.07864199999999999
Electricity,5,10,0.07085
Electricity,5,11,0.064038
Electricity,5,12,0.057011000000000006
Electricity,5,13,0.081993
Electricity,5,14,0.0825
Electricity,5,15,0.085365
Electricity,5,16,0.078397
Electricity,5,17,0.075862
Electricity,5,18,0.082101
Electricity,5,19,0.090622
Electricity,5,20,0.108342
Electricity,5,21,0.11099200000000001
Electricity,5,22,0.094348
Electricity,5,23,0.11787
Electricity,5,24,0.110792
Electricity,6,1,0.047561000000000006
Electricity,6,2,0.042996
Electricity,6,3,0.042935
Electricity,6,4,0.043144
Electricity,6,5,0.049935
Electricity,6,6,0.08834700000000001
Electricity,6,7,0.174933
Electricity,6,8,0.199942
Electricity,6,9,0.201101
Electricity,6,10,0.202518
Electricity,6,11,0.209416
Electricity,6,12,0.205893
Electricity,6,13,0.167713
Electricity,6,14,0.161054
Electricity,6,15,0.16066899999999998
Electricity,6,16,0.122053
Electricity,6,17,0.14157599999999998
Electricity,6,18,0.148611
Electricity,6,19,0.160766
Electricity,6,20,0.16653
Electricity,6,21,0.155954
Electricity,6,22,0.143184
Electricity,6,23,0.125969
Electricity,6,24,0.075214
Electricity,7,1,0.108931
Electricity,7,2,0.07865000000000001
Electricity,7,3,0.070488
Electricity,7,4,0.058122
Electricity,7,5,0.07826999999999999
Electricity,7,6,0.09248300000000001
Electricity,7,7,0.182268
Electricity,7,8,0.19708099999999998
Electricity,7,9,0.200661
Electricity,7,10,0.19296100000000002
Electricity,7,11,0.152956
Electricity,7,12,0.15652200000000002
Electricity,7,13,0.16453900000000002
Electricity,7,14,0.162565
Electricity,7,15,0.162425
Electricity,7,16,0.168762
Electricity,7,17,0.12517799999999998
Electricity,7,18,0.15875799999999998
Electricity,7,19,0.184884
Electricity,7,20,0.18372300000000003
Electricity,7,21,0.185378
Electricity,7,22,0.18409
Electricity,7,23,0.184116
Electricity,7,24,0.123685
Electricity,8,1,0.11486400000000001
Electricity,8,2,0.08667
Electricity,8,3,0.07153699999999999
Electricity,8,4,0.091982
Electricity,8,5,0.08865899999999999
Electricity,8,6,0.095161
Electricity,8,7,0.107266
Electricity,8,8,0.164863
Electricity,8,9,0.224779
Electricity,8,10,0.23088
Electricity,8,11,0.223797
Electricity,8,12,0.207926
Electricity,8,13,0.199005
Electricity,8,14,0.17186500000000002
Electricity,8,15,0.11228400000000001
Electricity,8,16,0.117619
Electricity,8,17,0.121485
Electricity,8,18,0.127327
Electricity,8,19,0.206157
Electricity,8,20,0.224949
Electricity,8,21,0.226546
Electricity,8,22,0.212959
Electricity,8,23,0.21393700000000002
Electricity,8,24,0.12756699999999999
Electricity,9,1,0.054168999999999995
Electricity,9,2,0.058927999999999994
Electricity,9,3,0.050238
Electricity,9,4,0.037645000000000005
Electricity,9,5,0.033909
Electricity,9,6,0.038600999999999996
Electricity,9,7,0.112724
Electricity,9,8,0.20791900000000002
Electricity,9,9,0.231775
Electricity,9,10,0.191206
Electricity,9,11,0.084394
Electricity,9,12,0.051479
Electricity,9,13,0.056674
Electricity,9,14,0.056845
Electricity,9,15,0.047014
Electricity,9,16,0.056045000000000005
Electricity,9,17,0.050752000000000005
Electricity,9,18,0.102429
