,,,GWP_supply
Electricity,1,1,0.286
Electricity,1,2,0.273
Electricity,1,3,0.26
Electricity,1,4,0.235
Electricity,1,5,0.22
Electricity,1,6,0.23
Electricity,1,7,0.259
Electricity,1,8,0.366
Electricity,1,9,0.424
Electricity,1,10,0.424
Electricity,1,11,0.4479999999999999
Electricity,1,12,0.447
Electricity,1,13,0.413
Electricity,1,14,0.397
Electricity,1,15,0.417
Electricity,1,16,0.442
Electricity,1,17,0.4589999999999999
Electricity,1,18,0.631
Electricity,1,19,0.635
Electricity,1,20,0.581
Electricity,1,21,0.4379999999999999
Electricity,1,22,0.32
Electricity,1,23,0.251
Electricity,1,24,0.228
Electricity,2,1,0.753
Electricity,2,2,0.6729999999999999
Electricity,2,3,0.664
Electricity,2,4,0.628
Electricity,2,5,0.618
Electricity,2,6,0.597
Electricity,2,7,0.609
Electricity,2,8,0.6459999999999999
Electricity,2,9,0.698
Electricity,2,10,0.74
Electricity,2,11,0.762
Electricity,2,12,0.774
Electricity,2,13,0.768
Electricity,2,14,0.753
Electricity,2,15,0.7240000000000001
Electricity,2,16,0.693
Electricity,2,17,0.629
Electricity,2,18,0.72
Electricity,2,19,0.8540000000000001
Electricity,2,20,0.851
Electricity,2,21,0.8540000000000001
Electricity,2,22,0.785
Electricity,2,23,0.768
Electricity,2,24,0.736
Electricity,3,1,0.3879999999999999
Electricity,3,2,0.38
Electricity,3,3,0.391
Electricity,3,4,0.3929999999999999
Electricity,3,5,0.38
Electricity,3,6,0.396
Electricity,3,7,0.43
Electricity,3,8,0.539
Electricity,3,9,0.546
Electricity,3,10,0.524
Electricity,3,11,0.508
Electricity,3,12,0.482
Electricity,3,13,0.4479999999999999
Electricity,3,14,0.439
Electricity,3,15,0.409
Electricity,3,16,0.414
Electricity,3,17,0.435
Electricity,3,18,0.521
Electricity,3,19,0.561
Electricity,3,20,0.59
Electricity,3,21,0.5760000000000001
Electricity,3,22,0.435
Electricity,3,23,0.397
Electricity,3,24,0.381
Electricity,4,1,0.2789999999999999
Electricity,4,2,0.263
Electricity,4,3,0.257
Electricity,4,4,0.244
Electricity,4,5,0.2339999999999999
Electricity,4,6,0.267
Electricity,4,7,0.457
Electricity,4,8,0.604
Electricity,4,9,0.603
Electricity,4,10,0.568
Electricity,4,11,0.53
Electricity,4,12,0.4679999999999999
Electricity,4,13,0.366
Electricity,4,14,0.349
Electricity,4,15,0.311
Electricity,4,16,0.282
Electricity,4,17,0.318
Electricity,4,18,0.462
Electricity,4,19,0.609
Electricity,4,20,0.589
Electricity,4,21,0.488
Electricity,4,22,0.302
Electricity,4,23,0.282
Electricity,4,24,0.267
Electricity,5,1,0.353
Electricity,5,2,0.342
Electricity,5,3,0.331
Electricity,5,4,0.3289999999999999
Electricity,5,5,0.313
Electricity,5,6,0.33
Electricity,5,7,0.4039999999999999
Electricity,5,8,0.527
Electricity,5,9,0.5529999999999999
Electricity,5,10,0.579
Electricity,5,11,0.568
Electricity,5,12,0.568
Electricity,5,13,0.526
Electricity,5,14,0.489
Electricity,5,15,0.452
Electricity,5,16,0.481
Electricity,5,17,0.535
Electricity,5,18,0.583
Electricity,5,19,0.578
Electricity,5,20,0.536
Electricity,5,21,0.461
Electricity,5,22,0.342
Electricity,5,23,0.315
Electricity,5,24,0.296
Electricity,6,1,0.318
Electricity,6,2,0.3229999999999999
Electricity,6,3,0.301
Electricity,6,4,0.288
Electricity,6,5,0.29
Electricity,6,6,0.326
Electricity,6,7,0.377
Electricity,6,8,0.524
Electricity,6,9,0.508
Electricity,6,10,0.455
Electricity,6,11,0.401
Electricity,6,12,0.412
Electricity,6,13,0.4039999999999999
Electricity,6,14,0.371
Electricity,6,15,0.355
Electricity,6,16,0.336
Electricity,6,17,0.3229999999999999
Electricity,6,18,0.326
Electricity,6,19,0.451
Electricity,6,20,0.631
Electricity,6,21,0.598
Electricity,6,22,0.423
Electricity,6,23,0.385
Electricity,6,24,0.312
Electricity,7,1,0.3429999999999999
Electricity,7,2,0.3389999999999999
Electricity,7,3,0.352
Electricity,7,4,0.345
Electricity,7,5,0.336
Electricity,7,6,0.3389999999999999
Electricity,7,7,0.345
Electricity,7,8,0.351
Electricity,7,9,0.377
Electricity,7,10,0.371
Electricity,7,11,0.354
Electricity,7,12,0.349
Electricity,7,13,0.355
Electricity,7,14,0.3339999999999999
Electricity,7,15,0.3329999999999999
Electricity,7,16,0.307
Electricity,7,17,0.287
Electricity,7,18,0.301
Electricity,7,19,0.356
Electricity,7,20,0.4029999999999999
Electricity,7,21,0.478
Electricity,7,22,0.465
Electricity,7,23,0.479
Electricity,7,24,0.475
Electricity,8,1,0.504
Electricity,8,2,0.47
Electricity,8,3,0.466
Electricity,8,4,0.4639999999999999
Electricity,8,5,0.465
Electricity,8,6,0.475
Electricity,8,7,0.652
Electricity,8,8,0.769
Electricity,8,9,0.795
Electricity,8,10,0.784
Electricity,8,11,0.746
Electricity,8,12,0.711
Electricity,8,13,0.657
Electricity,8,14,0.617
Electricity,8,15,0.605
Electricity,8,16,0.611
Electricity,8,17,0.665
Electricity,8,18,0.738
Electricity,8,19,0.774
Electricity,8,20,0.774
Electricity,8,21,0.745
Electricity,8,22,0.711
Electricity,8,23,0.7609999999999999
Electricity,8,24,0.6809999999999999
Electricity,9,1,0.449
Electricity,9,2,0.408
Electricity,9,3,0.402
Electricity,9,4,0.3779999999999999
Electricity,9,5,0.358
Electricity,9,6,0.376
Electricity,9,7,0.4379999999999999
Electricity,9,8,0.649
Electricity,9,9,0.69
Electricity,9,10,0.551
Electricity,9,11,0.466
Electricity,9,12,0.4539999999999999
Electricity,9,13,0.4379999999999999
Electricity,9,14,0.44
Electricity,9,15,0.428
Electricity,9,16,0.429
Electricity,9,17,0.418
Electricity,9,18,0.3929999999999999
Electricity,9,19,0.401
Electricity,9,20,0.499
Electricity,9,21,0.494
Electricity,9,22,0.446
Electricity,9,23,0.392
Electricity,9,24,0.342
Electricity,10,1,0.462
Electricity,10,2,0.444
Electricity,10,3,0.428
Electricity,10,4,0.3989999999999999
Electricity,10,5,0.4
Electricity,10,6,0.417
Electricity,10,7,0.506
Electricity,10,8,0.616
Electricity,10,9,0.6609999999999999
Electricity,10,10,0.653
Electricity,10,11,0.598
Electricity,10,12,0.578
Electricity,10,13,0.5429999999999999
Electricity,10,14,0.527
Electricity,10,15,0.525
Electricity,10,16,0.529
Electricity,10,17,0.541
Electricity,10,18,0.604
Electricity,10,19,0.6409999999999999
Electricity,10,20,0.6459999999999999
Electricity,10,21,0.6679999999999999
Electricity,10,22,0.664
Electricity,10,23,0.6559999999999999
Electricity,10,24,0.574
Electricity,11,1,0.4679999999999999
Electricity,12,1,0.386
