Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,1,69.76929240249,5554.70491699853,717.08878731275,10
Battery_Building3,1,14.4768113791,1192.5613044489378,148.79266735442,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,1,154.5297062316,1873.007184275043,0.07726485312,20
DHN_hex_in_Building2,1,19.68507100762,248.4160808962368,0.0098425355,20
DHN_hex_in_Building3,1,15.51921861243,198.22641834142541,0.00775960931,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,772.64853115799,267960.0056660215,0.12877475519,60
DHN_pipes_Building2,1,98.42535503809,34167.32657572125,0.01640422584,60
DHN_pipes_Building3,1,77.59609306213,26944.601025320688,0.01293268218,60
EV_district,1,210.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,1,0.72393810329,88.32706333010562,0.01484073112,20
ElectricalHeater_DHW_Building2,1,3.91251798106,157.35815393488537,0.08020661861,20
ElectricalHeater_DHW_Building3,1,0.7953884708,89.87392650492005,0.01630546365,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,1,39.13239888495,1091.9534912965132,0.80221417714,20
ElectricalHeater_SH_Building3,1,1.65235751658,122.37136569901003,0.03387332909,20
HeatPump_Air_Building1,1,14.62521874371,2327.9470637218164,100.95057237844,20
HeatPump_Air_Building2,1,1.3229877574,1319.1812830462625,9.13192299543,20
HeatPump_Air_Building3,1,4.29408571844,1544.4925076990298,29.63992667156,20
HeatPump_DHN_Building1,0,0.0,0.0,0.0,20
HeatPump_DHN_Building2,0,0.0,0.0,0.0,20
HeatPump_DHN_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building1,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_district,0,0.0,0.0,0.0,25
NG_Boiler_Building1,0,0.0,0.0,0.0,20
NG_Boiler_Building2,0,0.0,0.0,0.0,20
NG_Boiler_Building3,0,0.0,0.0,0.0,20
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_district,0,0.0,0.0,0.0,25
OIL_Boiler_Building1,0,0.0,0.0,0.0,20
OIL_Boiler_Building2,0,0.0,0.0,0.0,20
OIL_Boiler_Building3,0,0.0,0.0,0.0,20
PV_Building1,1,66.0,5648.18985917932,2640.0,25
PV_Building2,1,160.0,13121.540814089805,6400.0,25
PV_Building3,1,44.0,3899.1077207960143,1760.0,25
ThermalSolar_Building1,0,0.0,0.0,0.0,20
ThermalSolar_Building2,0,0.0,0.0,0.0,20
ThermalSolar_Building3,0,0.0,0.0,0.0,20
WaterTankDHW_Building1,1,9.408,5926.58649292178,566.3616,20
WaterTankDHW_Building2,1,0.87176021333,576.6343822913537,52.47996484267,20
WaterTankDHW_Building3,1,1.08219812624,708.5229871635578,65.14832719972,20
WaterTankSH_Building1,1,1.38357567485,255.62590187473614,83.29125562616,20
WaterTankSH_Building2,1,0.12515735397,102.16619721458684,7.53447270927,20
WaterTankSH_Building3,1,0.40622931184,136.441937583848,24.4550045728,20
