Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,0,0.0,0.0,0.0,10
Battery_Building3,0,0.0,0.0,0.0,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,1,4.72471365673,68.17558845653033,0.00236735683,20
DHN_hex_in_Building2,1,3.94055252007,58.72811430147812,0.00197527626,20
DHN_hex_in_Building3,1,2.04008021808,35.83146447250897,0.00102504011,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,23.62356828365,8229.164338839557,0.00393892805,60
DHN_pipes_Building2,1,19.70276260037,6869.591281500825,0.00328546043,60
DHN_pipes_Building3,1,10.20040109039,3574.565785809079,0.00170173352,60
EV_district,0,0.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,1,267.86359043195,5871.761147143475,5.59320360386,20
ElectricalHeater_DHW_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building3,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building3,0,0.0,0.0,0.0,20
HeatPump_Air_Building1,1,65.53223688411,6188.44670089626,452.33627009257,20
HeatPump_Air_Building2,1,10.3298795974,2002.212895397267,71.30199892108,20
HeatPump_Air_Building3,1,11.99605147957,2128.5659245382785,82.80275033774,20
HeatPump_DHN_Building1,0,0.0,0.0,0.0,20
HeatPump_DHN_Building2,0,0.0,0.0,0.0,20
HeatPump_DHN_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building1,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_district,0,0.0,0.0,0.0,25
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_district,1,24.49528413559,8796.195362169956,105.98113654237,25
PV_Building1,1,66.0,5648.18985917932,2640.000004,25
PV_Building2,1,160.0,13121.540814089805,6400.000004,25
PV_Building3,1,44.0,3899.1077207960143,1760.000004,25
ThermalSolar_Building1,0,0.0,0.0,0.0,20
ThermalSolar_Building2,0,0.0,0.0,0.0,20
ThermalSolar_Building3,0,0.0,0.0,0.0,20
WOOD_Stove_Building1,0,0.0,0.0,0.0,20
WOOD_Stove_Building2,0,0.0,0.0,0.0,20
WOOD_Stove_Building3,0,0.0,0.0,0.0,20
WaterTankDHW_Building1,1,16.68813741161,10489.296478147158,1004.62587717869,20
WaterTankDHW_Building2,1,1.50445353143,973.1648262712027,90.568107592,20
WaterTankDHW_Building3,1,0.74787446814,498.99096779640007,45.02204798191,20
WaterTankSH_Building1,1,6.19948395032,842.9090408454714,373.20893880941,20
WaterTankSH_Building2,1,0.97722778617,206.07320071616903,58.82911772729,20
WaterTankSH_Building3,1,1.13485106187,225.29480686731125,68.31803892475,20
