lifetime,Unit,ref_unit,Units_Fmin,Units_Fmax,Cost_inv1,Cost_inv2,References,UnitOfType,UnitOfLayer,UnitOfService,StreamsOfUnit,Units_flowrate_in,Units_flowrate_out,HP_parameters,stream_Tin,stream_Tout,GWP_unit1,GWP_unit2,CCEQL_1,CCEQL_2,CCEQS_1,CCEQS_2,CCHHL_1,CCHHL_2,CCHHS_1,CCHHS_2,MAL_1,MAL_2,MAS_1,MAS_2,PCOX_1,PCOX_2,FWEXS_1,FWEXS_2,HTXCS_1,HTXCS_2,HTXNCS_1,HTXNCS_2,FWEXL_1,FWEXL_2,HTXCL_1,HTXCL_2,HTXNCL_1,HTXNCL_2,MEU_1,MEU_2,OLD_1,OLD_2,FWA_1,FWA_2,PMF_1,PMF_2,TRA_1,TRA_2,FWEU_1,FWEU_2,IREQ_1,IREQ_2,IRHH_1,IRHH_2,LOBDV_1,LOBDV_2,LTBDV_1,LTBDV_2,TPW_1,TPW_2,WAVFWES_1,WAVFWES_2,WAVHH_1,WAVHH_2,WAVTES_1,WAVTES_2,TTHH_1,TTHH_2,TTEQ_1,TTEQ_2
20,NG_Boiler,kWth,0.1,100000,4232,57,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,NG_Boiler,NaturalGas/ HeatCascade,DHW/ SH,h_ht,NaturalGas,,,80,60,0.0001,11.62,0.124442309,28.69992722,0.035193099,9.01401239,5.67E-07,0.000130651,1.63E-07,4.17E-05,0.030091665,6.866041488,0.003266539,0.749551192,1.70E-12,9.15E-09,1.28E-05,1.858109951,5.35E-10,0.000154239,2.75E-10,5.94E-05,0.000138176,19.45052986,2.01E-11,1.64E-06,5.79E-10,5.55E-05,1.16E-05,0.084929723,8.84E-14,6.81E-09,3.71E-05,0.884509478,1.65E-09,5.12E-05,0.00028696,5.606177211,3.39E-08,0.005995092,3.30E-12,5.98E-09,4.63E-11,7.50E-08,2.58E-05,1.176883382,1.31E-05,2.380690442,8.01E-09,8.22E-05,3.24E-08,0.000171797,1.22E-08,6.37E-05,1.03E-08,0.001622074,7.45E-07,0.000558106,0.19351931,76.77923308
20,OIL_Boiler,kWth,0.1,100000,4516,162,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,OIL_Boiler,Oil/ HeatCascade,DHW/ SH,h_ht,Oil,,,80,60,0.0001,11.62,0.179707451,23.7855451,0.050810824,7.487728482,8.18E-07,0.000108278,2.35E-07,3.46E-05,0.04345282,5.683989551,0.004717226,0.62103848,5.32E-12,8.27E-09,9.69E-05,1.506832812,9.61E-09,0.000153883,4.58E-09,5.87E-05,0.001353558,18.74095205,3.29E-10,1.61E-06,9.79E-09,5.46E-05,3.43E-05,0.079699453,4.36E-13,6.29E-09,0.000567662,0.811629793,2.21E-08,4.42E-05,0.003592068,5.137127566,3.70E-07,0.00582766,4.89E-12,7.24E-09,6.80E-11,9.25E-08,9.23E-05,1.073360541,0.000160619,2.214249866,1.44E-08,6.73E-05,5.48E-08,0.000184811,2.06E-08,6.81E-05,6.98E-08,0.001384519,1.12E-06,0.000524078,0.284586288,67.14961762
20,WOOD_Stove,kWth,0.1,100000,14643,156,`Vaillant.ch <https://www.vaillant.ch/downloads/preisliste/franzoesisch-3/liste-de-prix-chaudires-murales-gaz-systmes-dvacuation-de-gaz-brls-prtirage-04-2021-2041428.pdf>`_,WOOD_Stove,Wood /HeatCascade,SH,h_ht,Wood,,,80,60,0.0001,11.62,0.003417399,30.00960119,0.010434983,9.36327269,1.50E-08,0.000136614,4.84E-08,4.33E-05,6.41E-06,7.214480716,6.97E-07,0.783645952,1.85E-10,9.27E-09,5.47E-05,1.541221641,1.40E-09,0.000259796,2.81E-08,9.61E-06,0.075995595,7.661334219,7.75E-10,1.77E-06,3.40E-08,5.06E-05,0.000188183,0.076076179,2.35E-14,9.49E-09,0.000526784,0.367059226,1.31E-06,4.49E-05,0.004331136,2.448714669,4.06E-08,0.008535163,1.36E-14,1.22E-08,9.70E-14,1.55E-07,3.22E-06,1.378693422,5.77E-06,1.538527245,3.04E-11,8.29E-05,2.08E-10,0.000214302,7.70E-11,7.82E-05,4.89E-10,0.001279315,1.44E-06,0.000624925,0.094964975,62.39273849
20,HeatPump_Air,kWe,0.1,100000,19930,1240,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
20,HeatPump_Lake,kWe,0.1,100000,19930,1240,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
20,HeatPump_Geothermal,kWe,0.1,100000,49930,1240,`IAS engineering <https://ias-engineering.ch/pac/prix-dune-pompe-a-chaleur-en-suisse/>`_,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
20,HeatPump_DHN,kWe,0.1,100000,19930,1240,,HeatPump,HeatCascade/ Electricity/ Heat,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity/ Heat,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,3.44E-05,105.4128826,0.000387655,89.64819534,1.34E-10,0.000476529,1.80E-09,0.000415106,0,23.85233315,0,2.592570539,0,4.55E-08,0,8.556082227,1.98E-13,0.000296052,1.70E-14,0.000634863,0,170.6362012,0,1.53E-05,0,0.000529774,0,0.344157115,0,1.65E-06,0,7.249579254,0,0.000289097,0,45.15893218,0,0.018694125,0,2.85E-08,0,3.50E-07,0,5.386648759,0,13.19475431,0,0.000367818,0,0.000793382,0,0.000300369,0,0.004360198,1.93E-09,0.002959162,0.000422035,472.0565476
20,HeatPump_Anergy,kWe,0.1,100000,19930,1240,,HeatPump,HeatCascade/ Electricity,DHW/ SH,h_ht/ h_mt/ h_lt,Electricity,,HP_parameters.txt,55/ 45/ 35,50/40/30,0.0001,138.05,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
20,Air_Conditioner_Air,kWe,0.1,100000,1278,403,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,Air_Conditioner,HeatCascade/ Electricity,Cooling,c_ht/ c_mt/ c_lt,Electricity,,AC_parameters.txt,13/ 15/ 18,14/ 16/ 19,0.0001,138.05,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
20,Air_Conditioner_DHN,kWe,0.1,100000,2989,186,`Viesmann <https://www.viessmann.ch/fr/connaissances/technique-et-systemes.html>`_,Air_Conditioner,HeatCascade/ Heat/ Electricity,Cooling,c_ht/ c_mt/ c_lt,Electricity,Heat,AC_parameters.txt,13/ 15/ 18,14/ 16/ 19,0.0001,13.8,0.000416161,29.98877302,0.003987558,28.26455368,1.67E-09,0.000135404,1.85E-08,0.00013089,1.29E-05,6.712978828,1.40E-06,0.72950707,2.06E-14,1.42E-08,1.78E-06,2.369690415,2.22E-11,9.82E-05,2.70E-11,0.000210685,8.97E-06,56.25162917,1.33E-12,5.07E-06,4.12E-11,0.000175428,2.30E-07,0.108822711,2.51E-11,5.49E-07,1.38E-06,2.339441852,8.28E-11,8.85E-05,8.73E-06,14.55595991,5.57E-09,0.006032107,1.20E-14,1.17E-08,1.71E-13,1.46E-07,9.04E-07,1.738353799,1.94E-06,4.181657192,3.12E-10,9.18E-05,5.54E-10,0.000286615,1.99E-10,0.000108782,1.61E-09,0.00119352,2.05E-08,0.000953734,0.004441938,147.2489702
