time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
01.01.05 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.05 08:00,0.114536,0.117061,0.120573,0.125247,0.130993,0.138744,0.147422,0.158249,0.170439,0.184371,0.19903,0.197696,0.182921,0.169105,0.156943,0.146523,0.137873,0.130529,0.12452,0.120109,0.116626,0.11442,0.11265,0.111052,0.110153,0.108847,0.109138,0.110153,0.111344,0.112766,0.117691,0.120217,0.123575,0.128072,0.133956,0.140979,0.149667,0.159605,0.170013,0.18081,0.189055,0.18825,0.179951,0.169153,0.158356,0.148808,0.140256,0.133123,0.127656,0.123159,0.1198,0.117385,0.115693,0.114443,0.113194,0.112778,0.112778,0.113194,0.114443,0.11572,0.143059,0.146882,0.152475,0.159646,0.169061,0.180247,0.192537,0.203879,0.211368,0.209946,0.201005,0.188871,0.176898,0.166187,0.157593,0.150548,0.145777,0.142111,0.140154,0.138732,0.137784,0.137784,0.138762,0.140658,0.12878,0.131653,0.136046,0.141793,0.148626,0.156325,0.163998,0.170857,0.174544,0.173838,0.169204,0.161938,0.153966,0.146592,0.140032,0.134799,0.13084,0.127966,0.126014,0.124794,0.124279,0.124387,0.125093,0.126447,0.140442,0.14476,0.150391,0.157625,0.165288,0.172093,0.175552,0.174666,0.169176,0.161829,0.154166,0.147361,0.142587,0.139156,0.137097,0.136239,0.136668,0.137955,0.150256,0.15551,0.16272,0.169754,0.173374,0.171564,0.165391,0.157912,0.151621,0.14803,0.146666,0.147258,0.157739,0.164505,0.169086,0.165445,0.158679,0.155463,0.122312
01.01.05 09:00,0.988619,0.988619,0.992974,1.014746,1.061774,1.14971,1.317201,1.613538,2.154593,3.125512,4.856007,31.406359,21.70174,4.428124,2.88343,2.019912,1.540102,1.274529,1.127938,1.04871,1.009238,0.992974,0.988619,0.988619,0.997328,1.001683,1.006037,1.004883,1.001683,0.996174,0.912932,0.912932,0.920157,0.941248,0.987593,1.074477,1.231318,1.502211,1.981872,2.806547,4.152414,14.082485,12.355606,3.842737,2.604464,1.862509,1.434775,1.19078,1.053386,0.977622,0.937084,0.920157,0.911829,0.912932,0.917097,0.920157,0.924321,0.924321,0.920157,0.915993,0.930763,0.935503,0.957946,1.004395,1.104546,1.297903,1.655562,2.275115,3.180308,3.841262,3.398927,2.473211,1.775287,1.363618,1.138339,1.023354,0.962993,0.938986,0.930763,0.933939,0.934246,0.935503,0.935503,0.933939,0.708425,0.71656,0.732829,0.769698,0.834488,0.952152,1.145467,1.421996,1.732975,1.908372,1.794775,1.497646,1.202936,0.992011,0.858892,0.782164,0.740964,0.717902,0.709503,0.708162,0.708162,0.708162,0.708162,0.708162,0.67905,0.691918,0.722222,0.785981,0.897201,1.059034,1.225434,1.281751,1.178832,1.003853,0.855166,0.760245,0.709354,0.683618,0.674761,0.670472,0.670472,0.670472,0.660025,0.686738,0.744014,0.838376,0.935722,0.943446,0.851733,0.752918,0.691479,0.661205,0.652301,0.652301,0.662322,0.711479,0.774291,0.752739,0.683874,0.656268,0.518282
