Name,ESM,LCA
NG_Boiler,20,
OIL_Boiler,20,
WOOD_Stove,20,
HeatPump_Air,20,
HeatPump_Lake,20,
HeatPump_Geothermal,20,
HeatPump_DHN,20,
HeatPump_Anergy,20,
Air_Conditioner_Air,20,
Air_Conditioner_DHN,20,
ElectricalHeater_SH,20,
ElectricalHeater_DHW,20,
PV,25,
ThermalSolar,20,
NG_Cogeneration_Elec,20,
NG_Cogeneration_Heat,20,
NG_Cogeneration_Common,20,
NG_Cogeneration,20,
Battery,10,
WaterTankSH,20,
WaterTankDHW,20,
Battery_district,10,
NG_Cogeneration_district_Elec,25,
NG_Cogeneration_district_Heat,25,
NG_Cogeneration_district_Common,25,
NG_Cogeneration_district,25,
HeatPump_Geothermal_district,25,
NG_Boiler_district,20,
