Name,Flow,Amount
NG_Boiler,Heat,1
NG_Boiler,Natural_gas,-1.052631579
OIL_Boiler,Heat,1
OIL_Boiler,Oil,-1.111111111
WOOD_Stove,Heat,1
WOOD_Stove,Wood,-1.086956522
HeatPump_Air,Heat,1
HeatPump_Lake,Heat,1
HeatPump_Geothermal,Heat,1
HeatPump_DHN,Heat,1
HeatPump_Anergy,Heat,1
HeatPump_Air,Ambient_Heat,-1
HeatPump_Lake,Ambient_Heat,-1
HeatPump_Geothermal,Ambient_Heat,-1
HeatPump_DHN,Ambient_Heat,-1
HeatPump_Anergy,Ambient_Heat,-1
HeatPump_Air,Electricity,-0.303030303
HeatPump_Lake,Electricity,-0.303030303
HeatPump_Geothermal,Electricity,-0.303030303
HeatPump_DHN,Electricity,-0.303030303
HeatPump_Anergy,Electricity,-0.303030303
Air_Conditioner_Air,Heat,1
Air_Conditioner_DHN,Heat,1
Air_Conditioner_Air,Ambient_Heat,-1
Air_Conditioner_DHN,Ambient_Heat,-1
Air_Conditioner_Air,Electricity,-0.137362637
Air_Conditioner_DHN,Electricity,-0.137362637
ElectricalHeater_SH,Heat,1
ElectricalHeater_DHW,Heat,1
ElectricalHeater_SH,Electricity,-1.01010101
ElectricalHeater_DHW,Electricity,-1.01010101
PV,Solar,-5.154639175
PV,Electricity,1
ThermalSolar,Solar,-1.196172249
ThermalSolar,Heat,1
NG_Cogeneration,Electricity,1
NG_Cogeneration,Heat,2.185185185
NG_Cogeneration,Natural_gas,-3.703703704
Battery_store,Electricity_stored,1
Battery_store,Electricity,-1
Battery_output,Electricity_stored,-1
Battery_output,Electricity,1
WaterTankSH_store,Water,-1
WaterTankSH_store,Water_stored,1
WaterTankSH_output,Water,1
WaterTankSH_output,Water_stored,-1
WaterTankDHW_store,Water,-1
WaterTankDHW_store,Water_stored,1
WaterTankDHW_output,Water,1
WaterTankDHW_output,Water_stored,-1
Battery_district_store,Electricity_stored,1
Battery_district_store,Electricity,-1
Battery_district_output,Electricity_stored,-1
Battery_district_output,Electricity,1
NG_Cogeneration_district,Electricity,1
NG_Cogeneration_district,Heat,2.185185185
NG_Cogeneration_district,Natural_gas,-3.703703704
HeatPump_Geothermal_district,Ambient_Heat,-1
HeatPump_Geothermal_district,Heat,1
HeatPump_Geothermal_district,Electricity,-0.303030303
NG_Boiler_district,Heat,1
NG_Boiler_district,Natural_gas,-1.052631579
Natural_gas,Natural_gas,1
Oil,Oil,1
Wood,Wood,1
Hydrogen,Hydrogen,1
Biogas,Biogas,1
Heat,Heat,1
Solar,Solar,1
Electricity,Electricity,1
Water,Water,1
Heat,Ambient_Heat,1
