Name,Type,Value,To,From
NG_Boiler,Construction,0.1,unit,kW
NG_Boiler,Operation,3.6,MJ,kWh
OIL_Boiler,Construction,0.1,unit,kW
OIL_Boiler,Operation,3.6,MJ,kWh
WOOD_Stove,Construction,0.166666667,unit,kW
WOOD_Stove,Operation,3.6,MJ,kWh
HeatPump_Air,Construction,0.1,unit,kW
HeatPump_Lake,Construction,0.1,unit,kW
HeatPump_Geothermal,Construction,0.1,unit,kW
HeatPump_DHN,Construction,0.1,unit,kW
HeatPump_Anergy,Construction,0.1,unit,kW
HeatPump_Air,Operation,3.6,MJ,kWh
HeatPump_Lake,Operation,3.6,MJ,kWh
HeatPump_Geothermal,Operation,3.6,MJ,kWh
HeatPump_DHN,Operation,3.6,MJ,kWh
HeatPump_Anergy,Operation,3.6,MJ,kWh
Air_Conditioner_Air,Construction,0.1,unit,kW
Air_Conditioner_DHN,Construction,0.1,unit,kW
Air_Conditioner_Air,Operation,3.6,MJ,kWh
Air_Conditioner_DHN,Operation,3.6,MJ,kWh
ElectricalHeater_SH,Construction,0.2,unit,kW
ElectricalHeater_DHW,Construction,0.2,unit,kW
ElectricalHeater_SH,Operation,3.6,MJ,kWh
ElectricalHeater_DHW,Operation,3.6,MJ,kWh
PV,Construction,0.333333333,unit,kW
PV,Operation,1,kWh,kWh
ThermalSolar,Construction,1,m2,m2
ThermalSolar,Operation,3.6,MJ,kWh
NG_Cogeneration_Elec,Construction,1,unit,unit
NG_Cogeneration_Heat,Construction,1,unit,unit
NG_Cogeneration_Common,Construction,1,unit,unit
NG_Cogeneration,Construction,0.5,unit,kW
NG_Cogeneration,Operation,1,kWh,kWh
Battery,Construction,6.288478452,kg,kWh
WaterTankSH,Construction,1.666666667,unit,m3
WaterTankDHW,Construction,1.666666667,unit,m3
Battery_district,Construction,6.288478452,kg,kWh
NG_Cogeneration_district_Elec,Construction,1,unit,unit
NG_Cogeneration_district_Heat,Construction,1,unit,unit
NG_Cogeneration_district_Common,Construction,1,unit,unit
NG_Cogeneration_district,Construction,0.5,unit,kW
NG_Cogeneration_district,Operation,1,kWh,kWh
HeatPump_Geothermal_district,Construction,0.1,unit,kW
HeatPump_Geothermal_district,Operation,3.6,MJ,kWh
NG_Boiler_district,Construction,0.1,unit,kW
NG_Boiler_district,Operation,3.6,MJ,kWh
Natural_gas,Resource,0.1,m3,kWh
Oil,Resource,0.084507042,kg,kWh
Wood,Resource,0.248962656,kg,kWh
Hydrogen,Resource,0.03,kg,kWh
Biogas,Resource,0.158380994,m3,kWh
Heat,Resource,3.6,MJ,kWh
Water,Resource,1,kg,kg
Solar,Resource,1,kW/m2,kW/m2
Electricity,Resource,1,kWh,kWh
Ambient_Heat,Resource,3.6,MJ,kWh
