,CCEQL_1,CCEQL_2,CCEQS_1,CCEQS_2,CCHHL_1,CCHHL_2,CCHHS_1,CCHHS_2,MAL_1,MAL_2,MAS_1,MAS_2,PCOX_1,PCOX_2,FWEXS_1,FWEXS_2,HTXCS_1,HTXCS_2,HTXNCS_1,HTXNCS_2,FWEXL_1,FWEXL_2,HTXCL_1,HTXCL_2,HTXNCL_1,HTXNCL_2,MEU_1,MEU_2,OLD_1,OLD_2,FWA_1,FWA_2,PMF_1,PMF_2,TRA_1,TRA_2,FWEU_1,FWEU_2,IREQ_1,IREQ_2,IRHH_1,IRHH_2,LOBDV_1,LOBDV_2,LTBDV_1,LTBDV_2,TPW_1,TPW_2,WAVFWES_1,WAVFWES_2,WAVHH_1,WAVHH_2,WAVTES_1,WAVTES_2,TTHH_1,TTHH_2,TTEQ_1,TTEQ_2
NG_Boiler,0.1244423089706502,28.699927224839094,0.0351930992835468,9.014012390421692,5.667200040960851e-07,0.0001306508342377,1.6264550813624644e-07,4.165907887597651e-05,0.0300916654940708,6.866041488425828,0.0032665393301812,0.7495511917232168,1.701662104263146e-12,9.14759128596057e-09,1.280946091647697e-05,1.858109950661836,5.353304880143872e-10,0.0001542386837243,2.749745611187415e-10,5.941683166573579e-05,0.0001381761452328,19.450529859932384,2.008413195126952e-11,1.6375562764867117e-06,5.788591368597963e-10,5.550559232192476e-05,1.1617054287202864e-05,0.0849297226984443,8.839023523188449e-14,6.806365402150726e-09,3.712959737728567e-05,0.88450947804972,1.645947317669091e-09,5.1204580641099214e-05,0.000286959937437,5.606177210761141,3.390020934897238e-08,0.0059950924776487,3.303548153106533e-12,5.975887085047844e-09,4.625653216336479e-11,7.502921895854175e-08,2.579300112040229e-05,1.176883382392355,1.3127678094941935e-05,2.3806904415655312,8.011193991545837e-09,8.222376162351658e-05,3.2396934421054825e-08,0.000171797052543,1.2193834947389856e-08,6.370179615727279e-05,1.0299562978687214e-08,0.0016220742819183,7.446625893847658e-07,0.0005581059416741,0.193519309822321,76.77923307847992
OIL_Boiler,0.1797074513079728,23.78554509527276,0.0508108244574125,7.487728482210824,8.184025831615386e-07,0.0001082782777464,2.348231308844935e-07,3.460517615751982e-05,0.0434528204280466,5.683989551242032,0.0047172259196786,0.6210384802783365,5.3207563308934215e-12,8.266287439105086e-09,9.692723601762928e-05,1.5068328124240171,9.613506613616558e-09,0.0001538830595993,4.5768692006047235e-09,5.8723760291511565e-05,0.0013535576347479,18.740952052958807,3.2939098468899486e-10,1.6070768207080643e-06,9.789196058813257e-09,5.459708030209013e-05,3.431552123742031e-05,0.0796994527894066,4.35585141909163e-13,6.2902791507429075e-09,0.0005676619317968,0.8116297925287775,2.21114568499158e-08,4.417914643227406e-05,0.0035920681151575,5.137127565847745,3.6999322685552233e-07,0.0058276598123723,4.894479527023491e-12,7.237087195141222e-09,6.801538882172513e-11,9.253554193064013e-08,9.230854503782348e-05,1.0733605410501064,0.0001606186595691,2.2142498655670466,1.4357541148854727e-08,6.731493897604678e-05,5.484407668413016e-08,0.000184810914467,2.059187512079881e-08,6.809719758185118e-05,6.979383163972305e-08,0.0013845187125378,1.1203117815481702e-06,0.0005240778716241,0.2845862875419485,67.14961761922832
WOOD_Stove,0.0034173994509036,30.009601185439152,0.010434982985743,9.363272689852709,1.4974856674587618e-08,0.0001366144239417,4.8363110823385326e-08,4.327220366779073e-05,6.414092528643257e-06,7.214480715633515,6.965711689114348e-07,0.7836459520733172,1.8549880178233507e-10,9.27097420278286e-09,5.474849197406093e-05,1.5412216406366694,1.401702922732683e-09,0.0002597960196599,2.8105142014540705e-08,9.612742366964688e-06,0.0759955947376362,7.6613342188786095,7.747629968188618e-10,1.7699053033260629e-06,3.3984929335508265e-08,5.059248158002326e-05,0.0001881828990833,0.0760761790023435,2.3539164674032547e-14,9.486961888211489e-09,0.0005267841464319,0.3670592255263891,1.3082779385171528e-06,4.486364158301783e-05,0.0043311360503296,2.448714669342112,4.0628507814658e-08,0.0085351628507441,1.3563969603001644e-14,1.2183490177666868e-08,9.695644839003909e-14,1.5522254898563193e-07,3.2200564698901324e-06,1.378693421773089,5.774094350934952e-06,1.5385272454365233,3.039541299380597e-11,8.290421640375304e-05,2.0759927851629302e-10,0.0002143016866664,7.697405146095659e-11,7.822916026178919e-05,4.894231553938044e-10,0.0012793146107092,1.4361450339496898e-06,0.0006249245711552,0.0949649746760414,62.39273849327829
HeatPump_Air,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
HeatPump_Lake,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
HeatPump_Geothermal,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
HeatPump_DHN,3.437963834647213e-05,105.41288263241016,0.0003876551935263,89.64819533530716,1.3426452100569499e-10,0.0004765288677376,1.796795981220743e-09,0.0004151059937181,0.0,23.852333151279943,0.0,2.5925705387447997,0.0,4.5504223467875566e-08,0.0,8.556082226576528,1.9849644054293898e-13,0.0002960518419925,1.6960622012181296e-14,0.0006348632702833,0.0,170.63620121108295,0.0,1.532775487567177e-05,0.0,0.0005297737931546,0.0,0.3441571145381615,0.0,1.6483527561435383e-06,0.0,7.249579254453888,0.0,0.0002890972441879,0.0,45.15893217954847,0.0,0.0186941250991997,0.0,2.8504650222064104e-08,0.0,3.503939015436906e-07,0.0,5.386648758932134,0.0,13.194754311091083,0.0,0.0003678183146085,0.0,0.0007933820948364,0.0,0.0003003689092765,0.0,0.0043601981948107,1.9312759664566093e-09,0.0029591619184074,0.0004220348156817,472.05654755587113
HeatPump_Anergy,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
Air_Conditioner_Air,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
Air_Conditioner_DHN,0.0004161610351997,29.98877301720347,0.0039875576354002,28.264553684428904,1.6668821698775503e-09,0.0001354039700228,1.8482264403489635e-08,0.000130890164921,1.287526477730172e-05,6.712978827618237,1.3985504703992648e-06,0.7295070697022483,2.0633839232152512e-14,1.4216611048987773e-08,1.784459898372473e-06,2.36969041531943,2.2157195377623738e-11,9.823360127110232e-05,2.6994098796104486e-11,0.000210685476729,8.973407804104362e-06,56.25162916862757,1.3318801003997472e-12,5.070645826418345e-06,4.119295820850711e-11,0.0001754282779116,2.2997717206345167e-07,0.1088227108717632,2.514351028432716e-11,5.485323036007206e-07,1.3783922850078398e-06,2.3394418520799416,8.283785279203961e-11,8.853116187525221e-05,8.729793519527927e-06,14.55595990535355,5.574979057169934e-09,0.0060321072533367,1.203953139037833e-14,1.1692410751940297e-08,1.7084503618156805e-13,1.4603104262025217e-07,9.035662568287754e-07,1.7383537991435494,1.9376570636518256e-06,4.181657192322034,3.12384409881075e-10,9.182182912624722e-05,5.54467423536303e-10,0.0002866151871259,1.9853206996456248e-10,0.0001087816925853,1.6073235426266335e-09,0.0011935196908487,2.05475276878666e-08,0.0009537337686028,0.0044419376232182,147.24897021551268
ElectricalHeater_SH,0.0013918751684757,0.8608682398313361,0.0004358392083156,0.2656942972747801,6.336189665102501e-09,3.919153417621413e-06,2.0143423664549027e-09,1.2279527889409505e-06,0.0003284041794038,0.2067908885766309,3.5712856179328525e-05,0.0224713194119628,5.195343402325761e-13,1.9747261056568503e-10,0.0001177399774801,0.0446712746325253,4.203958837738777e-09,7.76907360809248e-06,6.376844930895799e-09,7.195481589463809e-07,0.0017328669446022,0.3194741879164595,1.5285206486757954e-10,3.451310910735992e-08,5.2545063565118036e-09,1.1177821980201936e-06,4.391241271008445e-06,0.0013172663004708,5.483782108570414e-13,1.6424781251004508e-10,7.99158862568438e-05,0.0149979699694099,3.492706359896337e-09,1.489505964808224e-06,0.0005002596173856,0.0971965778437711,3.522016696839262e-06,0.0001229912650353,3.2996630263424324e-13,2.733815434744233e-10,4.11813506013203e-12,3.6165861491260355e-09,8.424498576433086e-05,0.0325684719244065,0.000157510411868,0.0771519969791615,4.6652117160862264e-09,2.6146165887293686e-06,1.0397409041870026e-08,5.146674590023048e-06,3.873483296510752e-09,1.9044765666366427e-06,8.599873632587808e-08,3.181096412553366e-05,3.1710069885025435e-08,1.81859844440524e-05,0.0048723835249706,1.943365043397724
