,Ambient_Heat,Biogas,Electricity,Electricity_stored,Heat,Hydrogen,Natural_gas,Oil,Solar,Water,Water_stored,Wood,CONSTRUCTION,OWN_CONSTRUCTION,DECOMMISSIONING,TRANSPORT_FUEL,PROCESS_FUEL
NG_Boiler,0,0,0.0,0,0,0,0.026997245,0.0,0,0,0,0.0,0,6.468e-07,0,0,0
OIL_Boiler,0,0,0.0,0,0,0,0.0,0.0249148936170213,0,0,0,0.0,0,7.03595744680851e-07,0,0,0
WOOD_Stove,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.1078,0,1.54320987654321e-06,0,0,0
HeatPump_Air,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_Lake,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_Geothermal,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
HeatPump_DHN,0,0,0.0617,0,0,0,0.0,0.0,0,0,0,0.0,0,3.47e-08,0,0,0
HeatPump_Anergy,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
Air_Conditioner_Air,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
Air_Conditioner_DHN,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
ElectricalHeater_SH,0,0,0.23457,0,0,0,0.0,0.0,0,0,0,0.0,0,6.5545e-08,0,0,0
ElectricalHeater_DHW,0,0,0.23457,0,0,0,0.0,0.0,0,0,0,0.0,0,6.5545e-08,0,0,0
PV,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
ThermalSolar,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0
NG_Cogeneration,0,0,0.0,0,0,0,0.271186021177224,0.0,0,0,0,0.0,0,4.41029826240519e-06,0,0,0
NG_Cogeneration_district,0,0,0.0,0,0,0,0.271186021177224,0.0,0,0,0,0.0,0,4.41029826240519e-06,0,0,0
HeatPump_Geothermal_district,0,0,0.0992,0,0,0,0.0,0.0,0,0,0,0.0,0,1.11e-06,0,0,0
NG_Boiler_district,0,0,0.0,0,0,0,0.026997245,0.0,0,0,0,0.0,0,6.468e-07,0,0,0
