,Ambient_Heat,Biogas,Electricity,Electricity_stored,Heat,Hydrogen,Natural_gas,Oil,Solar,Water,Water_stored,Wood,CONSTRUCTION,OWN_CONSTRUCTION,DECOMMISSIONING,TRANSPORT_FUEL,PROCESS_FUEL
NG_Boiler,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OIL_Boiler,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
WOOD_Stove,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
HeatPump_Air,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HeatPump_Lake,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HeatPump_Geothermal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HeatPump_DHN,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HeatPump_Anergy,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Air_Conditioner_Air,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Air_Conditioner_DHN,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ElectricalHeater_SH,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ElectricalHeater_DHW,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ThermalSolar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG_Cogeneration,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
NG_Cogeneration_district,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
HeatPump_Geothermal_district,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NG_Boiler_district,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
