Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,0,0.0,0.0,0.0,10
Battery_Building3,0,0.0,0.0,0.0,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,1,103.72869900243,1260.9630769948562,0.0518693495,20
DHN_hex_in_Building2,1,20.159544031,254.1324718471784,0.01008477202,20
DHN_hex_in_Building3,1,15.5192186123,198.22641833989402,0.00776460931,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,518.64349501217,179881.57702950653,0.08644224917,60
DHN_pipes_Building2,1,100.79772015526,34989.96456291523,0.01680128669,60
DHN_pipes_Building3,1,77.59609306191,26944.601025244367,0.01293434884,60
EV_district,0,0.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building3,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building3,0,0.0,0.0,0.0,20
HeatPump_Air_Building1,1,52.65047956712,5211.567259416552,363.41994021208,20
HeatPump_Air_Building2,1,6.80113727301,1734.6130838071188,46.94485502698,20
HeatPump_Air_Building3,1,7.04736341055,1753.285478092452,48.6444309413,20
HeatPump_DHN_Building1,0,0.0,0.0,0.0,20
HeatPump_DHN_Building2,0,0.0,1.1036952920071158e-08,1e-09,20
HeatPump_DHN_Building3,0,0.0,1.1036952920071158e-08,1e-09,20
HeatPump_Geothermal_Building1,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_district,1,326.05291629511,8735.989724123308,1800.46420778159,25
NG_Boiler_Building1,0,0.0,0.0,0.0,20
NG_Boiler_Building2,0,0.0,0.0,0.0,20
NG_Boiler_Building3,0,0.0,0.0,0.0,20
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_district,0,0.0,0.0,0.0,25
OIL_Boiler_Building1,0,0.0,0.0,0.0,20
OIL_Boiler_Building2,0,0.0,0.0,0.0,20
OIL_Boiler_Building3,0,0.0,0.0,0.0,20
PV_Building1,1,66.0,5648.18985917932,2640.000004,25
PV_Building2,1,160.0,13121.540814089805,6400.000004,25
PV_Building3,1,44.0,3899.1077207960143,1760.000004,25
ThermalSolar_Building1,0,0.0,0.0,0.0,20
ThermalSolar_Building2,0,0.0,0.0,0.0,20
ThermalSolar_Building3,0,0.0,0.0,0.0,20
WaterTankDHW_Building1,1,16.35911526205,10283.087094687833,984.81874377533,20
WaterTankDHW_Building2,1,0.87176021333,576.6343822913537,52.47996984267,20
WaterTankDHW_Building3,1,0.4102111009,287.3658390084099,24.6947132744,20
WaterTankSH_Building1,1,4.98084330053,694.3000837913823,299.84677169209,20
WaterTankSH_Building2,1,0.64340152836,165.36425832298576,38.73277700719,20
WaterTankSH_Building3,1,0.66669502573,168.20481870599752,40.13504554911,20
