,,,GWP_supply
Electricity,1,1,0.156494
Electricity,1,2,0.125381
Electricity,1,3,0.097437
Electricity,1,4,0.066069
Electricity,1,5,0.055341999999999995
Electricity,1,6,0.104027
Electricity,1,7,0.122014
Electricity,1,8,0.122475
Electricity,1,9,0.166354
Electricity,1,10,0.180707
Electricity,1,11,0.179152
Electricity,1,12,0.18187899999999999
Electricity,1,13,0.165472
Electricity,1,14,0.16486
Electricity,1,15,0.16108100000000003
Electricity,1,16,0.156523
Electricity,1,17,0.146572
Electricity,1,18,0.170845
Electricity,1,19,0.1722
Electricity,1,20,0.171079
Electricity,1,21,0.143223
Electricity,1,22,0.151334
Electricity,1,23,0.06780599999999999
Electricity,1,24,0.08743899999999999
Electricity,2,1,0.17325400000000002
Electricity,2,2,0.139389
Electricity,2,3,0.135207
Electricity,2,4,0.12238500000000001
Electricity,2,5,0.113105
Electricity,2,6,0.119536
Electricity,2,7,0.120518
Electricity,2,8,0.134658
Electricity,2,9,0.151451
Electricity,2,10,0.170198
Electricity,2,11,0.17022700000000002
Electricity,2,12,0.17158400000000001
Electricity,2,13,0.17381099999999997
Electricity,2,14,0.17255299999999998
Electricity,2,15,0.152625
Electricity,2,16,0.16960499999999998
Electricity,2,17,0.196898
Electricity,2,18,0.200877
Electricity,2,19,0.27257600000000004
Electricity,2,20,0.29615499999999995
Electricity,2,21,0.303673
Electricity,2,22,0.25690199999999996
Electricity,2,23,0.24292
Electricity,2,24,0.208739
Electricity,3,1,0.16957
Electricity,3,2,0.165937
Electricity,3,3,0.16922299999999998
Electricity,3,4,0.172212
Electricity,3,5,0.169315
Electricity,3,6,0.19134700000000002
Electricity,3,7,0.223287
Electricity,3,8,0.22008900000000003
Electricity,3,9,0.223085
Electricity,3,10,0.21828399999999998
Electricity,3,11,0.204397
Electricity,3,12,0.211427
Electricity,3,13,0.21592699999999998
Electricity,3,14,0.222173
Electricity,3,15,0.238852
Electricity,3,16,0.246958
Electricity,3,17,0.242468
Electricity,3,18,0.21914699999999998
Electricity,3,19,0.21959800000000002
Electricity,3,20,0.206874
Electricity,3,21,0.20568
Electricity,3,22,0.228576
Electricity,3,23,0.218083
Electricity,3,24,0.228493
Electricity,4,1,0.290766
Electricity,4,2,0.29383
Electricity,4,3,0.301473
Electricity,4,4,0.301836
Electricity,4,5,0.29910000000000003
Electricity,4,6,0.31292400000000004
Electricity,4,7,0.320848
Electricity,4,8,0.26185200000000003
Electricity,4,9,0.265491
Electricity,4,10,0.27539199999999997
Electricity,4,11,0.28089600000000003
Electricity,4,12,0.272546
Electricity,4,13,0.27253
Electricity,4,14,0.28251600000000004
Electricity,4,15,0.272205
Electricity,4,16,0.260243
Electricity,4,17,0.248504
Electricity,4,18,0.229293
Electricity,4,19,0.246726
Electricity,4,20,0.257749
Electricity,4,21,0.284337
Electricity,4,22,0.295654
Electricity,4,23,0.31882699999999997
Electricity,4,24,0.326583
Electricity,5,1,0.299342
Electricity,5,2,0.299002
Electricity,5,3,0.29588099999999995
Electricity,5,4,0.30032600000000004
Electricity,5,5,0.306667
Electricity,5,6,0.329351
Electricity,5,7,0.314998
Electricity,5,8,0.28878
