Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_Air_Building3,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building1,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building2,0,0.0,0.0,0.0,20
Air_Conditioner_DHN_Building3,0,0.0,0.0,0.0,20
Battery_Building1,0,0.0,0.0,0.0,10
Battery_Building2,0,0.0,0.0,0.0,10
Battery_Building3,0,0.0,0.0,0.0,10
Battery_district,0,0.0,0.0,0.0,10
DHN_hex_in_Building1,0,0.0,0.0,0.0,20
DHN_hex_in_Building2,0,0.0,0.0,0.0,20
DHN_hex_in_Building3,0,0.0,0.0,0.0,20
DHN_hex_out_Building1,0,0.0,0.0,0.0,20
DHN_hex_out_Building2,0,0.0,0.0,0.0,20
DHN_hex_out_Building3,0,0.0,0.0,0.0,20
DHN_out_district,0,0.0,0.0,0.0,20
DHN_pipes_Building1,1,69575.11798572747,24125807.42405826,11.59585466429,60
DHN_pipes_Building2,1,14112.67600460571,4893729.146537154,2.3521143341,60
DHN_pipes_Building3,1,5175.02840484857,1794523.0511053018,0.86250640081,60
EV_district,0,0.0,0.0,0.0,10
ElectricalHeater_DHW_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_DHW_Building3,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building1,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building2,0,0.0,0.0,0.0,20
ElectricalHeater_SH_Building3,0,0.0,0.0,0.0,20
HeatPump_Air_Building1,1,16.0,14105.092544619387,1172.91555910013,20
HeatPump_Air_Building2,0,0,11483.40243517716,934.2872773313,20
HeatPump_Air_Building3,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building1,0,0,40606.53702858169,3418.10177064157,20
HeatPump_Geothermal_Building2,0,0.0,0.0,0.0,20
HeatPump_Geothermal_Building3,1,160,0.0,0.0,20
HeatPump_Geothermal_district,1,9219.17940163669,121317.99667545734,50908.3086598378,25
NG_Boiler_Building1,1,2040,33229.924109258165,5507.95403645405,20
NG_Boiler_Building2,1,2155,6948.659143165905,1127.65893664595,20
NG_Boiler_Building3,1,2040,2707.135907835987,420.72479677832,20
NG_Boiler_district,0,0.0,0.0,0.0,20
NG_Cogeneration_Building1,0,0.0,0.0,0.0,20
NG_Cogeneration_Building2,0,0.0,0.0,0.0,20
NG_Cogeneration_Building3,0,0.0,0.0,0.0,20
NG_Cogeneration_district,1,36676.59575743084,2431881.6690722667,146714.3830297234,25
OIL_Boiler_Building1,1,510,0.0,0.0,20
OIL_Boiler_Building2,1,270,0.0,0.0,20
OIL_Boiler_Building3,1,14.5,0.0,0.0,20
PV_Building1,0,0,5648.18985917932,2640.000004,25
PV_Building2,0,0,13121.540814089805,6400.000004,25
PV_Building3,1,16.335,3899.1077207960143,1760.000004,25
ThermalSolar_Building1,1,16.24,0.0,0.0,20
ThermalSolar_Building2,0,0,0.0,0.0,20
ThermalSolar_Building3,0,0,0.0,0.0,20
WOOD_Stove_Building1,1,64199.41745649205,613386.7234658557,37312.52504222188,20
WOOD_Stove_Building2,1,13033.6204296879,125242.09614369867,7585.19696964867,20
WOOD_Stove_Building3,1,4767.97523048812,46384.13770660387,2782.8571089136,20
WaterTankDHW_Building1,1,14.9721776812,9413.846091224219,901.32510140831,20
WaterTankDHW_Building2,1,1.50445353143,973.1648262712027,90.568107592,20
WaterTankDHW_Building3,1,1.08219812624,708.5229871635578,65.14833219972,20
WaterTankSH_Building1,1,2304.95829566883,281168.49114531965,138758.4894042633,20
WaterTankSH_Building2,1,467.53969770594,57101.73154539773,28145.88980689774,20
WaterTankSH_Building3,1,171.4438293087,20993.877931500683,10320.91852938356,20
HeatPump_DHN_Building1,0,4.7809491737,1581.4134718612474,33.00050667146,20
HeatPump_DHN_Building2,0,6.59856948824,1719.2514914731644,45.5466308926,20
HeatPump_DHN_Building3,0,4.31197810508,1545.849364860515,29.76343387034,20
